epiweek,end_date,region,fips,covid_hospitalizations,flu_hospitalizations,doctor_visits,symptom_Fever,symptom_Low_grade_fever,symptom_Cough,symptom_Sore_throat,symptom_Headache,symptom_Fatigue,symptom_Vomiting,symptom_Diarrhea,symptom_Shortness_of_breath,symptom_Chest_pain,symptom_Dizziness,symptom_Confusion,symptom_Generalized_tonic_clonic_seizure,percent_ili,ilitotal,num_of_providers,total_patients,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b
202104,2021-01-30,US,US,82393,563,,3.5085714285714285,0.20857142857142857,3.82,1.3885714285714286,4.154285714285714,4.368571428571428,2.394285714285714,3.57,0.7328571428571429,1.3614285714285714,1.59,0.2542857142857143,0.16999999999999998,1.10177,16896,3324,1504764,36455,12,50,0.170073,0.0329173,0.137155
202105,2021-02-06,US,US,70717,553,,3.394285714285714,0.19999999999999998,3.704285714285714,1.3914285714285715,4.175714285714286,4.37,2.41,3.5614285714285714,0.7428571428571429,1.3771428571428572,1.5871428571428574,0.2557142857142857,0.1757142857142857,1.16565,16098,3295,1487296,36559,21,53,0.202413,0.0574414,0.144971
202106,2021-02-13,US,US,57416,480,,3.3057142857142856,0.18571428571428572,3.5742857142857143,1.4028571428571428,4.081428571428572,4.267142857142857,2.404285714285714,3.52,0.72,1.3542857142857143,1.5814285714285714,0.26,0.18571428571428572,1.00609,14079,3246,1443873,34089,11,35,0.134941,0.0322685,0.102672
202107,2021-02-20,US,US,47108,483,,3.1228571428571428,0.16285714285714287,3.457142857142857,1.3514285714285716,4.112857142857143,4.228571428571429,2.4285714285714284,3.5085714285714285,0.6971428571428572,1.3485714285714285,1.5557142857142858,0.24714285714285714,0.17857142857142858,0.986101,12591,3256,1387354,32424,19,22,0.12645,0.0585986,0.067851
202108,2021-02-27,US,US,42524,463,,3.1514285714285712,0.17142857142857143,3.4285714285714284,1.3342857142857143,4.187142857142857,4.605714285714286,2.4971428571428573,3.617142857142857,0.7257142857142858,1.3314285714285714,1.6199999999999999,0.26571428571428574,0.18857142857142858,0.864388,13344,3276,1550083,34328,17,25,0.122349,0.0495223,0.0728268
202109,2021-03-06,US,US,36273,493,,3.085714285714286,0.16142857142857145,3.382857142857143,1.3257142857142858,4.034285714285715,4.498571428571428,2.494285714285714,3.6,0.7114285714285715,1.282857142857143,1.587142857142857,0.26857142857142857,0.18857142857142858,0.828056,13000,3278,1543291,34184,14,17,0.0906857,0.0409548,0.0497309
202110,2021-03-13,US,US,33854,457,,3.1357142857142857,0.17142857142857143,3.472857142857143,1.3514285714285716,3.9285714285714284,4.421428571428572,2.5142857142857147,3.6314285714285712,0.7085714285714285,1.2442857142857144,1.5728571428571427,0.26,0.18142857142857144,0.882103,14077,3284,1559093,34191,15,21,0.105291,0.0438712,0.0614197
202111,2021-03-20,US,US,32980,408,,3.0814285714285714,0.17285714285714285,3.4257142857142857,1.3614285714285717,3.7742857142857145,4.3342857142857145,2.545714285714286,3.6614285714285715,0.6885714285714286,1.2285714285714284,1.5285714285714285,0.24714285714285714,0.1742857142857143,0.908033,14574,3227,1551445,34680,26,19,0.129758,0.0749712,0.0547866
202112,2021-03-27,US,US,34415,380,,3.2471428571428573,0.18857142857142858,3.582857142857143,1.4214285714285713,3.855714285714286,4.4157142857142855,2.5942857142857143,3.7528571428571427,0.71,1.23,1.5728571428571427,0.25857142857142856,0.1842857142857143,0.947577,15354,3201,1599192,35763,13,17,0.0838856,0.0363504,0.0475352
202113,2021-04-03,US,US,36001,388,,3.38,0.2057142857142857,3.6557142857142857,1.44,3.8742857142857146,4.347142857142857,2.5914285714285716,3.7514285714285713,0.6957142857142857,1.2085714285714284,1.5657142857142858,0.24285714285714285,0.18571428571428572,0.975225,15993,3257,1602279,31900,13,9,0.0689655,0.0407524,0.0282132
